LOAN_NO,age,channel,education,income,install_num,is_attach,is_fam_know,is_fam_reg_add,is_insuuance,is_reg_live,live_build_type,loan_amt,mar_level,mar_status,mobile_time_span,mth_repay_amt,mth_repay_date,mth_tel_bill,nation,no_close_loan,sex,str_level,unit_prov,unit_scale,FPD30,unit_is_live,reg_is_unit
660002019031200146,18.0,微信,初中,7104.0,3.0,1.0,是,0.0,1.0,否,全款,2000.0,A1,未婚,5009.0,842.0,12.0,50-100,回族,2.0,男,0.0,新疆,5-10,0.0,1,0
660002019030301562,30.0,PC,初中,7105.0,4.0,1.0,miss,miss,1.0,否,全款,2000.0,A1,已婚有子女,5010.0,649.0,3.0,50-100,汉族,1.0,男,0.0,黑龙江,0-5,0.0,1,1
660002019030802430,32.0,PC,高中,7105.0,4.0,1.0,miss,miss,1.0,是,自建房,2000.0,A1,已婚有子女,5010.0,649.0,8.0,100-150,藏族,1.0,男,0.0,西藏,0-5,0.0,1,1
660002019021701101,48.0,PC,初中,7103.0,4.0,1.0,miss,miss,1.0,否,宿舍,3000.0,A1,已婚有子女,5010.0,966.0,17.0,150-200,白族,1.0,男,0.0,贵州,50-100,0.0,1,1
660002019022602733,25.0,PC,初中,5000.0,12.0,1.0,否,1.0,1.0,是,与父母同住,4000.0,A1,未婚,48.0,510.0,26.0,100-150,汉族,0.0,男,1.0,甘肃,5-10,1.0,1,1
660002019031002569,53.0,PC,小学,7102.0,3.0,1.0,miss,miss,1.0,是,自建房,2000.0,A1,已婚有子女,5010.0,842.0,10.0,150-200,汉族,0.0,男,0.0,四川,0-5,0.0,1,1
660002019021303016,30.0,PC,中专,7103.0,3.0,1.0,miss,miss,1.0,否,自建房,2000.0,A1,已婚有子女,5009.0,842.0,13.0,100-150,维吾尔族,1.0,女,0.0,新疆,20-50,1.0,1,1
660002019021702954,33.0,PC,初中,7104.0,12.0,1.0,miss,miss,1.0,是,全款,8000.0,A1,已婚有子女,5010.0,1004.0,17.0,50-100,汉族,0.0,男,1.0,贵州,0-5,0.0,1,1
660002019022103056,26.0,微信,初中,7105.0,3.0,1.0,是,1.0,1.0,是,与父母同住,2000.0,A1,未婚,5010.0,842.0,21.0,150-200,彝族,0.0,男,0.0,贵州,0-5,0.0,1,1
660002019031101581,22.0,PC,初中,7103.0,3.0,1.0,否,1.0,1.0,否,租赁,2000.0,A1,未婚,5010.0,842.0,11.0,100-150,汉族,0.0,男,0.0,贵州,10-20,0.0,1,1
660002019021201745,24.0,微信,初中,3000.0,9.0,2.0,是,1.0,1.0,否,租赁,4000.0,A1,未婚,15.0,623.0,12.0,100-150,壮族,0.0,男,0.0,云南,50-100,0.0,1,1
660002019021400709,33.0,PC,中专,7105.0,12.0,1.0,否,1.0,1.0,是,自建房,8000.0,A1,已婚有子女,5010.0,937.0,14.0,100-150,汉族,0.0,男,0.0,rare_prov,50-100,0.0,1,0
660002019021503000,22.0,微信,初中,4000.0,9.0,1.0,是,1.0,1.0,否,租赁,6000.0,A1,未婚,8.0,949.0,15.0,101-200元,汉族,0.0,男,0.0,贵州,0-5,0.0,1,1
660002019021101896,44.0,PC,初中,5000.0,3.0,1.0,否,1.0,1.0,否,全款,2000.0,A1,已婚有子女,120.0,842.0,11.0,100-150,汉族,0.0,男,0.0,内蒙古,200+,0.0,1,1
660002019021501893,29.0,PC,中专,7102.0,3.0,1.0,否,0.0,1.0,否,全款,2000.0,A1,未婚,5010.0,842.0,15.0,0-50,回族,0.0,男,0.0,新疆,5-10,1.0,1,1
660002019022501773,32.0,微信,高中,7103.0,4.0,1.0,否,1.0,1.0,是,与父母同住,3000.0,A1,已婚有子女,5010.0,966.0,25.0,100-150,东乡族,1.0,男,0.0,甘肃,5-10,1.0,1,1
660002019022003429,35.0,PC,大专,7104.0,4.0,1.0,miss,miss,1.0,否,全款,2000.0,A1,已婚有子女,5010.0,649.0,20.0,50-100,哈萨克族,1.0,女,0.0,新疆,5-10,0.0,1,1
660002019031101672,30.0,微信,高中,5000.0,4.0,1.0,是,1.0,1.0,是,全款,3000.0,A1,已婚有子女,60.0,966.0,11.0,50-100,汉族,1.0,男,0.0,新疆,0-5,0.0,1,1
660002019030202227,29.0,PC,小学,7104.0,4.0,1.0,否,1.0,1.0,否,宿舍,2000.0,A1,已婚有子女,5010.0,649.0,2.0,100-150,rare_nation,0.0,男,0.0,青海,5-10,0.0,1,1
660002019031100360,19.0,微信,初中,7103.0,12.0,1.0,是,1.0,1.0,否,租赁,6000.0,A1,未婚,5010.0,757.0,11.0,50-100,汉族,0.0,女,0.0,海南,10-20,0.0,1,1
